"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLACBUS","198111","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198112","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198113","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198201","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198202","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198203","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198204","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198205","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198206","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198207","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198208","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198209","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198210","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198211","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198212","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198213","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198301","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198302","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198303","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198304","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198305","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198306","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198307","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198308","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198309","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198310","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198311","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198312","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198313","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198401","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198402","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198403","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198404","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198405","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198406","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198407","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198408","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198409","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198410","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198411","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198412","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198413","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198501","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198502","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198503","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198504","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198505","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198506","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
