"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCCBUS","198509","11.593","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198510","12.647","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198511","13.381","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198512","17.122","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198513","137.411","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198601","15.773","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198602","13.802","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198603","9.837","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198604","14.221","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198605","8.586","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198606","6.79","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198607","8.299","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198608","7.837","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198609","10.413","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198610","11.7","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198611","12.378","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198612","15.839","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198613","135.475","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198701","13.047","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198702","11.417","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198703","8.137","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198704","10.858","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198705","6.556","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198706","5.184","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198707","9.086","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198708","8.58","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198709","11.399","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198710","11.822","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198711","12.508","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198712","16.005","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198713","124.6","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198801","15.191","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198802","12.469","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198803","9.19","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198804","11.183","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198805","6.584","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198806","8.087","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198807","12.477","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198808","12.105","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198809","7.134","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198810","8.199","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198811","10.919","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198812","17.549","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198813","131.088","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198901","11.815","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198902","12.948","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198903","9.564","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198904","9.54","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198905","6.273","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198906","5.533","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198907","9.265","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198908","8.396","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198909","5.946","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198910","3.919","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198911","9.904","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198912","22.124","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198913","115.227","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199001","13.196","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199002","12.136","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199003","10.199","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199004","9.845","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199005","6.668","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199006","6.905","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199007","9.899","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199008","9.227","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199009","7.577","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199010","7.653","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199011","11.553","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199012","19.598","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199013","124.456","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199101","16.347","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199102","11.471","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199103","10.248","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199104","7.639","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199105","6.258","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199106","6.097","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199107","8.087","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199108","7.315","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199109","6.053","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199110","6.698","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199111","12.837","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199112","16.455","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199113","115.505","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199201","13.924","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199202","11.03","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199203","9.962","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199204","10.082","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199205","6.081","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199206","5.601","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199207","8.989","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199208","7.451","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199209","6.978","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199210","6.96","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199211","12.164","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199212","17.347","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199213","116.57","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199301","12.473","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199302","12.095","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199303","9.685","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199304","11.567","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199305","6.088","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199306","7.884","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199307","8.002","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199308","7.197","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199309","5.436","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199310","7.284","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199311","12.234","1","Coal Consumed by the Commercial Sector","Trillion Btu"
